Respondent_ID,NYC Area,Occupation,Commute_Flag,Commute_Minutes,Long_Commute_Flag,Work_Hours,Jobs_Count,Multi_Job_Flag,PublicSpace_Flag,Live_Alone,Live_Dorm,Live_Roommates,Live_Parents,LeftOut_RC,Companionship_RC,Isolated_RC,TalkTo_RC,Content_RC,Loneliness_Score,Loneliness_Group,SocialisingHours_Code,SocialMedia_Scale,App_SocialMedia,App_Dating,App_Therapy,App_Count,Paid_Service_Flag,Impact_Score,Pressure_Score,Algo_Accuracy_Score,Benefits_From_Loneliness_Code
R001,Bronx,Student,1,30,0,29,1,0,0,0,0,0,1,5,5,4,5,5,4.8,High,1.5,2,1,1,0,2,1,2.0,4.0,3.0,0.0
R002,Brooklyn,Healthcare,1,52,1,52,2,1,0,0,0,1,0,2,1,2,1,2,1.6,Low,1.5,4,1,1,0,2,0,4.0,1.0,1.0,1.0
R003,Brooklyn,Education,1,36,0,30,1,0,1,0,0,0,1,5,5,5,4,5,4.8,High,1.5,2,1,1,1,3,0,4.0,2.0,4.0,0.5
R004,Brooklyn,Retail / Service,1,65,1,61,3,1,0,0,0,0,1,1,2,2,1,1,1.4,Low,1.5,4,1,0,0,1,0,,,,1.0
R005,Manhattan,Education,1,26,0,42,1,0,1,0,0,0,1,5,5,5,5,5,5.0,High,4.0,2,1,0,0,1,0,,,,0.5
R006,Staten Island,Student,1,77,1,61,2,1,0,0,1,0,0,1,1,2,3,2,1.8,Low,0.0,3,1,1,1,3,0,4.0,4.0,4.0,1.0
R007,Staten Island,Office / Professional,1,62,1,46,1,0,0,0,0,1,0,3,4,2,2,2,2.6,Moderate,0.0,2,1,1,1,3,0,4.0,2.0,3.0,0.5
R008,Staten Island,Office / Professional,1,51,1,33,1,0,0,0,0,1,0,2,4,2,4,2,2.8,Moderate,1.5,3,1,1,0,2,0,4.0,2.0,3.0,0.0
R009,Bronx,Office / Professional,1,83,1,63,2,1,0,0,0,0,1,1,2,1,3,2,1.8,Low,0.0,4,1,0,0,1,0,,,,0.5
R010,Manhattan,Office / Professional,1,38,0,29,1,0,1,0,0,1,0,5,5,5,5,5,5.0,High,1.5,2,1,1,0,2,0,3.0,1.0,3.0,1.0
R011,Manhattan,Hospitality,1,47,1,46,2,1,0,1,0,0,0,2,2,3,2,2,2.2,Low,1.5,4,1,1,0,2,1,3.0,3.0,3.0,1.0
